"entity_id","en","cs_cz","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"yc9ca3a-yc9ca3a_l70e854-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"x894cae-q","PLEASE SPECIFY","PROSÍM UPŘESNI:","УТОЧНИТЕ, КАКОЙ","VEUILLEZ PRÉCISER","VÄNLIGEN SPECIFICERA","VEUILLEZ PRÉCISER","VEUILLEZ PRÉCISER","אנא פרט","ESPECIFIQUE","자세하게 적어주십시오.","PLEASE SPECIFY","PROSZĘ OKREŚLIĆ","BITTE GENAU ANGEBEN","PLEASE SPECIFY","HURDAN:","SPECIFICARE","BITTE GENAU ANGEBEN","PLEASE SPECIFY","Millainen?","ESPECIFIQUE","يرجى التحديد","LÜTFEN BELİRTİN","ESPECIFICAR","LEG UIT","VEUILLEZ PRÉCISER","KÉRJÜK, JELLEMEZZE","Specificeer:"
"n471a51-q","The suspension has a  ….<br/><br>
Other Taste","Suspenze má.... jinou chuť","Вкус суспензии... Другой","La suspension a un …. Autre goût","Suspensionen har en ... Annan smak","La suspension a un …. Autre goût","La suspension a un …. Autre goût","לתרחיף יש ….  טעם אחר","La suspensión tiene …. Otro gusto","현탁액의 맛은.... 다른 맛","The suspension has a  ….
Other Taste","Zawiesina ma… Inny smak","Die Suspension hat einen … anderen Geschmack","The suspension has a  ….
Other Taste","Suspensionen har en ... Annan typ av smak","La sospensione ha un... Altro sapore","Die Suspension hat einen … anderen Geschmack","The suspension has a  ….
Other Taste","Suspension maku on … Muunlainen","A suspensão tem um... Outro sabor","يمتلك المعلقمذاقًا... مذاق آخر","Süspansiyonun ....bir tadı var. Diğer  ","La suspensión tiene un .... ","De suspensie smaakt Andere smaak","La suspension a un goût Autre ","A szuszpenzió íze... Egyéb","De suspensie is …. Anders:"
"n471a51-n471a51_r240658-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"n471a51-n471a51_s18cae6-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"y3f02f1-q","Capture spontaneous expressions of the child concerning the texture of the suspension (just right after having the study medication dose). The expression indicates that the texture is …","Zapište spontánní výrazy dítěte ohledně konzistence suspenze (ihned po podání dávky suspenze). Výrazy svědčí o tom, že konzistence je ...","Обратите внимание на внешнее проявление эмоций ребенка в связи с текстурой суспензии (сразу после приема исследуемого препарата). Оно указывает на оценку текстуры...","Relevez les expressions spontanées de l’enfant concernant la texture de la suspension (juste après l’administration du médicament à l’étude). L’expression indique que la texture est...","Beskriv barnets spontana uttryck när det gäller suspensionens konsistens (direkt efter intag av studieläkemedlet). Uttrycket tyder på att konsistensen är: ... ","Notez les expressions spontanées de l’enfant concernant la texture de la suspension (juste après avoir pris la dose du médicament de l’étude). L’expression indique que la texture est …","Saisir les expressions spontanées de l’enfant concernant la texture de la suspension (immédiatement après la prise de la dose du médicament de l’étude). L’expression indique que la texture est …","תיעוד התבטאויות ספונטניות של הילד לגבי המרקם של התרחיף (מיד לאחר נטילת מנת תרופת המחקר). ההתבטאות מצביעה על כך שהמרקם הוא ...","Capte las expresiones espontáneas del niño acerca de la textura de la suspensión (justo después de haber tomado la dosis del medicamento). La expresión indica que la textura es ...","현탁액의 식감에 대해 아동이 짓는 자발적 표정을 포착해 주십시오(시험약 복용 직후). 그 표현이 나타내는 식감은...","Capture spontaneous expressions of the child concerning the texture of the suspension (just right after having the study medication dose). The expression indicates that the texture is …","Proszę zanotować spontaniczną reakcję dziecka na konsystencję zawiesiny (bezpośrednio po podaniu dawki leku badanego). Reakcja wskazuje, że faktura jest…","Erfassen Sie die spontanen Ausdrücke des Kindes in Bezug auf die Konsistenz der Suspension (direkt nach der Einnahme der Dosis der Studienmedikation). Anhand des Ausdrucks ist die Konsistenz ...","Capture spontaneous expressions of the child concerning the texture of the suspension (just right after having the study medication dose). The expression indicates that the texture is …","Bedöm barnets spontana reaktion på suspensionens konsistens (strax efter intaget av en dos av prövningsläkemedlet). Reaktionen tyder på att konsistensen är ...","Osservare le espressioni spontanee del bambino riguardo alla consistenza della sospensione (immediatamente dopo l’assunzione della dose di farmaco in studio). L’espressione indica che la consistenza è...","Erfassen Sie die spontanen Ausdrücke des Kindes in Bezug auf die Konsistenz der Suspension (direkt nach der Einnahme der Dosis der Studienmedikation). Anhand des Ausdrucks ist die Konsistenz ...","Capture spontaneous expressions of the child concerning the texture of the suspension (just right after having the study drug dose). The expression indicates that the texture is …","Arvioi lapsen spontaania reaktiota suspension rakenteeseen (heti tutkimuslääkeannoksen ottamisen jälkeen). Reaktio viittaa siihen, että rakenne on...","Capte expressões espontâneas da criança relativas à textura da suspensão (logo após ter tomado a dose de medicação do estudo). A expressão indica que a textura é...","التقط التعبيرات التلقائية للطفل فيما يتعلق بقوام المعلق (مباشرة بعد تناول جرعة الدواء قيد الدراسة). يشير التعبير إلى أن الملمس...","Çocuğun süspansiyonun kıvamına yönelik spontane ifadesine dikkat edin (çalışma ilacı dozunu aldıktan hemen sonra). İfade, kıvamın ... olduğunu göstermektedir:","Capturar las expresiones espontáneas del niño con respecto a la textura de la suspensión (justo después de recibir la dosis delamedicacióndel ensayo). La expresión indica que la textura es...","Let op spontane uitdrukkingen van het kind met betrekking tot de textuur van de suspensie (vlak na toediening van het studiegeneesmiddel).  De uitdrukking geef aan dat de textuur….. is","Collectez les expressions spontanées de l’enfant concernant la texture de la suspension (immédiatement après avoir pris la dose de médicament).","Jegyezze fel a gyermeknek a szuszpenzió állagára vonatkozó (közvetlenül a vizsgálati készítmény adagjának bevétele után megfigyelt) spontán megnyilvánulásait. A gyermek megnyilvánulása azt jelzi, hogy az állag...","Leg de spontane uirdrukking van het kind vast met betrekking tot de textuur van de suspensie (vlak na de dosering van de onderzoeksmedicatie). De uitdrukking geeft aan dat de textuur is …"
"y3f02f1-y3f02f1_t3a3842-c","<p>Very bad</p>","Velmi špatné","Очень плохо","Très mauvaise","Mycket dålig","Très mauvaise","Très mauvaise","רע מאוד","Muy desagradable","매우 나쁨 ","Very bad","Bardzo złe","sehr schlecht","Very bad","mycket dålig ","Molto negativa","sehr schlecht","Very bad","todella huono","Muito mau","سيئ جدًا","Çok kötü","Muy mala","Heel slecht   ","Très mauvaise","Nagyon rossz","Zeer slecht"
"y3f02f1-y3f02f1_n9bb17b-c","<p>Bad</p>","Špatné","Плохо","Mauvaise","Dålig","Mauvaise","Mauvaise","רע","Desagradable","나쁨","Bad","Złe","schlecht ","Bad","dålig","Negativa","schlecht ","Bad","huono ","Mau","سيئ","Kötü","Mala","Slecht   ","Mauvaise","Rossz","Slecht"
"y3f02f1-y3f02f1_pd80d33-c","<p>Neutral</p>","Neutrální","Нейтрально","Neutre ","Neutral","Neutre ","Neutre ","ניטרלי","Neutra","보통","Neutral","Neutralne","neutral","Neutral","varken bra eller dålig","Neutra","neutral","Neutral","ei hyvä eikä huono","Neutro","عادي","Nötr","Neutra","Neutraal","Neutre ","Semleges","Neutraal"
"y3f02f1-y3f02f1_y60f41d-c","<p>Good</p>","Dobré","Хорошо","Bonne","Bra","Bonne","Bonne","טוב","Agradable","좋음","Good","Dobre","gut","Good","bra","Positiva","gut","Good","hyvä","Bom","جيد"," İyi  ","Buena","Goed ","Bonne","Jó","Goed"
"y3f02f1-y3f02f1_j47e8df-c","<p>Very good</p>","Velmi dobré  ","Очень хорошо","Très bonne","Mycket bra ","Très bonne","Très bonne","טוב מאוד","Muy agradable","매우 좋음","Very good","Bardzo dobre","sehr gut","Very good","mycket bra","Molto positiva","sehr gut","Very good","todella hyvä  ","Muito bom","جيد جدًا","Çok iyi","Muy buena","Heel goed   ","Très bonne","Nagyon jó","Zeer Goed"
"y3f02f1-y3f02f1_i50dd95-c","<p>Not assessable</p>","Nelze hodnotit","Не поддается оценке","Non évaluable ","Vet ej","Non évaluable ","Non évaluable ","לא ניתן להערכה","No se puede evaluar","평가할 수 없음","Not assessable","Niemożliwe do oceny","nicht bewertbar","Not assessable","Kan inte säga","Non valutabile","nicht bewertbar","Not assessable","ei arvioitavissa","Não avaliável","لم أستطع التقييم","Değerlendirilemiyor","No evaluable","Niet beoordeelbaar  ","Non évaluable ","Nem értékelhető","Niet van toepassing"
"p6ae8de-q","The suspension ….<br/><br>
Other feeling in mouth","Suspenze vyvolává pocit, který lze popsat jako ... jiný pocit v ústech","Суспензия ощущается как... Другие ощущения","La suspension est… Autre sensation dans la bouche","Suspensionen ... Annan känsla i munnen","La suspension donne une … Autre sensation dans la bouche","La suspension …. Autre sensation dans la bouche","התרחיף …. תחושה אחרת בפה","La suspensión ... Otra sensación en la boca","현탁액은... 그 외 다른 느낌","The suspension ….
Other feeling in mouth","Zawiesina… Inne wrażenie w ustach","Die Suspension … Anderes Gefühl im Mund","The suspension ….
Other feeling in mouth","Suspensionen ... Annan typ av munkänsla","La sospensione... Dà un’altra sensazione in bocca","Die Suspension … Anderes Gefühl im Mund","The suspension ….
Other feeling in mouth","Suspensio... Muunlainen suutuntuma","A suspensão... Outra sensação na boca","المعلق… شعور آخر بالفم","Süspansiyon .... Ağızda başka bir his bırakıyor","La suspensión produce una.... Otra sensación en la boca","De suspensie ... Ander gevoel in mond","La suspension …. Autre sensation dans la bouche","A szuszpenzió... Egyéb érzés a szájban","De Suspensie  …. Ander gevoel in de mond"
"p6ae8de-p6ae8de_f484bc2-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"p6ae8de-p6ae8de_u48daec-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"g6d5794-q","The suspension ….<br/><br>
Feels creamy","Suspenze vyvolává pocit, který lze popsat jako ... krémový","Суспензия ощущается как... Что-то кремообразное","La suspension est… Crémeuse","Suspensionen ... Känns krämig","La suspension donne une … Sensation crémeuse","La suspension …. Est crémeuse","התרחיף …. מרגיש קרמי","La suspensión ... Se siente cremosa","현탁액은... 크림 같은 느낌","The suspension ….
Feels creamy","Zawiesina… Jest kremowa","Die Suspension … fühlt sich cremig an","The suspension ….
Feels creamy","Suspensionen ... Känns krämig","La sospensione... È cremosa","Die Suspension … fühlt sich cremig an","The suspension ….
Feels creamy","Suspensio... Tuntuu täyteläiseltä","A suspensão... Parece cremosa","المعلق… له ملمس كريمي","Süspansiyon .... Kremamsı bir his bırakıyor","La suspensión produce una.... Sensación cremosa","De suspensie ... Voelt romig aan","La suspension …. Est crémeuse","A szuszpenzió... Krémes","De Suspensie  …. Voelt romig aan"
"g6d5794-g6d5794_eb204be-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"g6d5794-g6d5794_x6f9474-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"u831a4d-q","The suspension ….<br/><br>
Feels dry","Suspenze vyvolává pocit, který lze popsat jako ... suchý","Суспензия ощущается как... Что-то сухое","La suspension est… Sèche","Suspensionen ... Känns torr","La suspension donne une … Sensation de sécheresse","La suspension …. Est sèche","התרחיף …. מרגיש יבש","La suspensión ... Deja la boca seca","현탁액은... 건조한 느낌","The suspension ….
Feels dry","Zawiesina… Jest sucha","Die Suspension … fühlt sich trocken an","The suspension ….
Feels dry","Suspensionen ... Känns torr","La sospensione... È asciutta","Die Suspension … fühlt sich trocken an","The suspension ….
Feels dry","Suspensio... Tuntuu kuivalta","A suspensão... Parece seca","المعلق… له ملمس جاف ","Süspansiyon .... Kuru bir his bırakıyor","La suspensión produce una.... Sensación seca","De suspensie ... Voelt droog aan","La suspension …. Est sèche","A szuszpenzió... Száraz","De Suspensie …. Voelt droog aan"
